,County,Region,Population Age 18-64 With a Disablilty,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages*,Intakes,Completed Investigations,Confirmed Investigations,Total,Hispanic,Anglo,African American,Asian,Other*,Native American,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Totals,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Families,Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2010,Subsequently Confirmed Victims in Fiscal Years 2010 - 2015,Child Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Substitute Care,Children in Substitute Care - Relative*,Children in Substitute Care - Non Relative**,Children in Foster Care***,Other *,Other**,Family Reunification,Custody Given to Relative Non-PCA,Custody Given to Relative PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique  Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving  In-Home Services,Children Receiving In-Home Purchased Services,Children in Substitute Care,Children Receiving Sub-Care Purchased Services,Children in Foster Care,Children in Paid Foster Care,Child PopulationAges 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Indepent Foster and Group Homes,Residential Treatment Centers*,Total Residential,Total Residential Capacity,TOTALS,STAR*,CYD*,SYSN*,TFTS,CBCAP,HOPES,CBFS,HIP
152,LYNN,001,531,1066,55,50,35,12,0,0,0,1597,948,598,21,1,21,8,62,53,0,41,6,14.6%,31,4,0,35,85.4%,41,39,2,0,59,53,48,2,57,3,1597,6,3.8,41,6,14.6%,,,11,31,5,16.1%,14,4,1597,14,8.8,8,8,6,10,,,,,,,,,,,,,,,,10,0,8,0,2,0,0,0,1,1,34,9,14,5,10,10,1215,2,103,1,12,1,2,1597,0,2,0,0,0,2,4,16,16,0,0,,,,,
153,MADISON,007,1013,2278,64,38,23,1,2,2,0,3082,826,1608,512,32,97,7,138,123,2,112,21,18.8%,83,6,2,91,81.3%,112,102,2,8,154,123,111,15,139,11,3082,28,9.1,112,21,18.8%,,,3,8,2,25.0%,25,4,3082,24,7.8,11,13,6,9,,,,,,,,,,,,,,,,24,0,11,1,0,2,13,0,1,0,11,9,19,8,9,9,2324,7,276,1,12,2,3,3082,0,3,0,0,0,3,6,58,58,0,0,,,,,
154,MARION,004,1297,2887,86,58,44,20,0,0,0,1974,132,1222,505,15,89,11,128,109,0,107,28,26.2%,66,10,3,79,73.8%,107,97,5,5,197,145,117,22,175,11,1974,51,25.8,107,28,26.2%,,,9,24,2,8.3%,30,5,1974,26,13.2,16,15,11,19,,,,,,,,,,,,,,,,25,0,16,0,0,5,11,0,0,0,26,13,26,6,19,19,1505,2,152,0,0,1,1,1974,0,1,0,0,0,1,4,8,8,0,0,,,,,
155,MARTIN,009,356,744,19,12,10,4,0,0,0,1445,767,629,30,0,16,3,44,35,0,27,7,25.9%,17,3,0,20,74.1%,27,22,5,0,41,30,24,8,33,0,1445,9,6.2,27,7,25.9%,,,7,15,0,0.0%,7,2,1445,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1117,1,37,0,0,2,1,1445,0,1,0,0,0,1,2,6,6,0,0,,,,,
156,MASON,009,221,1177,11,10,9,5,0,0,0,799,247,540,4,1,4,3,40,32,0,25,7,28.0%,16,2,0,18,72.0%,25,19,6,0,45,35,30,17,28,2,799,10,12.5,25,7,28.0%,,,8,23,0,0.0%,12,1,799,3,3.8,2,1,2,2,,,,,,,,,,,,,,,,3,0,2,0,0,0,1,0,0,0,23,1,3,1,2,2,581,2,94,0,0,0,0,799,0,1,0,0,0,1,2,17,17,0,0,,,,,
157,MATAGORDA,006,3039,6242,149,124,92,38,3,3,0,9654,5295,3044,964,189,147,15,407,321,3,272,43,15.8%,206,22,1,229,84.2%,272,234,27,11,433,353,319,70,363,15,9654,65,6.7,272,43,15.8%,,,44,115,1,0.9%,121,17,9654,61,6.3,17,27,31,41,,,,,,,,,,,,,,,,51,0,17,3,4,10,20,0,3,0,130,4,58,26,41,41,7406,7,633,2,24,12,0,9654,0,7,0,0,1,8,34,81,41,0,40,,,,,
158,MAVERICK,008,5176,7025,167,118,30,14,4,2,0,18896,18160,421,18,26,34,237,336,279,3,224,20,8.9%,194,7,3,204,91.1%,224,210,11,3,373,334,318,20,353,5,18896,30,1.6,224,20,8.9%,,,18,60,2,3.3%,31,1,18896,31,1.6,8,9,17,19,,,,,,,,,,,,,,,,26,0,8,1,5,2,11,1,0,3,76,17,26,2,19,17,14568,21,1821,3,36,5,3,18896,0,5,0,0,0,5,3,127,126,1,0,,,,,
159,MCCULLOCH,009,537,1973,82,67,47,25,0,0,0,1980,857,1067,29,9,17,1,143,127,2,101,26,25.7%,69,5,1,75,74.3%,101,88,11,2,160,118,109,25,135,3,1980,37,18.7,101,26,25.7%,,,16,36,0,0.0%,22,1,1980,20,10.1,8,2,19,18,,,,,,,,,,,,,,,,15,0,8,0,2,3,2,0,0,1,39,0,21,10,18,17,1488,2,101,1,12,2,0,1980,0,15,0,0,0,15,59,21,19,2,0,,,,,
160,MCLENNAN,007,15885,32903,1492,968,568,114,150,132,15,61339,23020,26296,9498,540,1842,143,3247,2799,29,2354,654,27.8%,1585,104,11,1700,72.2%,2354,1884,311,159,3798,2611,2411,891,2907,253,61339,1053,17.2,2354,654,27.8%,1,0,378,1023,91,8.9%,486,80,61339,874,14.2,323,464,395,481,,,,,,,,,,,,,,,,759,0,330,28,201,109,171,4,21,16,850,342,859,412,481,475,47749,106,10616,23,273,36,25,61339,4,109,3,0,1,117,687,1678,343,1316,19,,,,,
161,MCMULLEN,011,56,220,2,2,1,0,0,0,0,144,70,72,2,0,0,0,17,15,0,10,1,10.0%,9,0,0,9,90.0%,10,8,2,0,19,18,18,5,14,2,144,1,6.9,10,1,10.0%,,,2,5,0,0.0%,3,3,144,4,27.8,2,0,1,0,,,,,,,,,,,,,,,,4,0,0,0,0,0,6,0,0,0,12,0,1,1,0,0,101,1,35,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,,,,,
162,MEDINA,008,4067,8124,191,119,61,23,5,2,0,12329,7591,4418,69,32,178,41,502,395,7,286,54,18.9%,211,21,0,232,81.1%,286,229,37,20,474,390,344,96,378,35,12329,77,6.2,286,54,18.9%,,,70,209,10,4.8%,170,58,12329,170,13.8,56,85,82,99,,,,,,,,,,,,,,,,137,0,57,3,27,39,35,0,1,4,242,50,167,63,99,97,9156,16,869,0,0,3,7,12329,1,28,1,0,0,30,96,57,56,0,1,,,,,
163,MENARD,009,178,720,17,15,10,6,0,0,0,449,225,224,0,0,-1,1,24,20,0,18,4,22.2%,13,1,0,14,77.8%,18,17,1,0,28,22,20,1,27,0,449,6,13.4,18,4,22.2%,,,1,1,0,0.0%,14,3,449,3,6.7,0,0,3,2,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,3,1,2,2,344,1,20,0,0,0,0,449,0,0,0,0,0,0,0,14,13,0,1,,,,,
164,MIDLAND,009,8625,17141,497,310,194,76,38,36,6,39757,21117,14686,2474,505,824,151,1445,1216,7,978,219,22.4%,700,34,25,759,77.6%,978,863,76,39,1553,1192,1079,196,1357,45,39757,325,8.2,978,219,22.4%,,,103,282,14,5.0%,189,20,39757,185,4.7,57,83,90,109,,,,,,,,,,,,,,,,132,0,60,2,18,18,51,0,0,0,210,70,173,73,109,107,31214,64,6880,10,117,30,10,39757,3,63,1,0,0,67,178,200,168,0,32,,,,,
165,MILAM,007,2537,4971,146,95,35,15,0,0,0,6357,2481,3108,621,17,121,9,349,267,1,202,67,33.2%,115,18,2,135,66.8%,202,167,18,17,353,215,181,77,276,41,6357,122,19.2,202,67,33.2%,1,0,28,92,1,1.1%,108,27,6357,130,20.4,52,87,41,79,,,,,,,,,,,,,,,,90,0,52,8,17,7,19,0,0,2,126,49,128,40,79,74,4875,6,350,4,48,8,1,6357,0,8,1,0,0,9,71,68,68,0,0,,,,,
166,MILLS,007,292,1258,17,13,2,0,1,0,0,1187,279,873,17,0,18,0,61,49,0,36,8,22.2%,27,1,0,28,77.8%,36,33,1,2,65,43,39,9,56,8,1187,15,12.6,36,8,22.2%,,,3,11,4,36.4%,4,1,1187,16,13.5,12,12,4,11,,,,,,,,,,,,,,,,16,0,12,0,0,1,3,0,0,0,9,0,16,21,11,11,861,1,33,2,24,3,2,1187,0,9,0,0,1,10,156,5,5,0,0,,,,,
167,MITCHELL,002,943,1448,55,41,29,14,0,0,0,1830,869,857,78,4,18,4,116,97,0,69,15,21.7%,50,3,1,54,78.3%,69,56,10,3,127,92,85,30,97,1,1830,29,15.8,69,15,21.7%,,,19,64,7,10.9%,32,6,1830,10,5.5,4,2,8,6,,,,,,,,,,,,,,,,9,0,4,0,1,0,4,0,0,0,64,2,10,4,6,6,1375,3,93,0,0,1,3,1830,0,0,0,0,0,0,0,35,35,0,0,,,,,
168,MONTAGUE,002,1645,4618,211,126,102,30,0,0,0,4614,902,3567,16,10,87,32,307,261,3,199,86,43.2%,91,21,1,113,56.8%,199,149,31,19,346,173,130,99,247,33,4614,158,34.2,199,86,43.2%,1,0,50,122,2,1.6%,48,11,4614,70,15.2,35,39,30,58,,,,,,,,,,,,,,,,54,0,36,1,9,4,9,0,0,0,118,9,69,22,58,58,3551,7,360,2,24,1,3,4614,0,7,0,0,0,7,25,0,0,0,0,,,,,
169,MONTGOMERY,006,31686,68583,1580,1141,665,322,69,61,7,141316,46520,80692,6477,3007,4111,509,4588,3630,31,2729,340,12.5%,1997,328,64,2389,87.5%,2729,2402,231,96,4209,3647,3023,539,3670,130,141316,503,3.6,2729,340,12.5%,,,370,990,38,3.8%,1016,152,141316,568,4.0,161,284,297,385,,,,,,,,,,,,,,,,434,0,166,11,90,96,142,1,16,6,1078,149,581,304,385,373,106370,158,20143,17,204,58,19,141316,4,170,6,0,2,182,730,870,858,0,12,,,,,
170,MOORE,001,1513,2428,60,46,25,11,0,0,0,7453,4762,1749,67,729,118,28,275,241,3,177,28,15.8%,133,11,5,149,84.2%,177,157,14,6,307,239,206,47,260,10,7453,65,8.7,177,28,15.8%,,,23,60,8,13.3%,83,5,7453,29,3.9,12,17,12,21,,,,,,,,,,,,,,,,20,0,12,3,2,3,3,0,2,0,46,28,29,6,21,21,5916,4,257,0,0,6,2,7453,0,2,0,0,0,2,5,24,24,0,0,,,,,
171,MORRIS,004,1488,2803,85,59,33,12,0,0,0,3072,522,1716,681,9,132,12,174,156,1,114,19,16.7%,83,6,6,95,83.3%,114,101,7,6,164,135,120,20,144,8,3072,27,8.8,114,19,16.7%,,,14,38,9,23.7%,62,8,3072,28,9.1,15,23,6,14,,,,,,,,,,,,,,,,26,0,15,0,4,4,11,0,1,0,43,23,29,7,14,14,2378,4,190,2,24,1,2,3072,0,5,0,0,0,5,18,7,7,0,0,,,,,
172,MOTLEY,001,109,374,14,13,8,7,0,0,0,241,63,175,2,0,1,0,7,7,0,6,1,16.7%,5,0,0,5,83.3%,6,5,1,0,8,7,7,1,7,2,241,1,4.1,6,1,16.7%,,,2,3,0,0.0%,1,0,241,2,8.3,2,2,0,2,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0,0,3,2,2,0,2,2,180,0,0,0,0,0,0,241,0,1,0,0,0,1,2,8,8,0,0,,,,,
173,NACOGDOCHES,005,5141,8898,308,241,183,76,6,12,4,17375,4981,8379,3264,237,450,64,558,438,6,404,104,25.7%,272,27,1,300,74.3%,404,355,27,22,669,490,440,81,588,38,17375,157,9.0,404,104,25.7%,,,33,90,8,8.9%,129,26,17375,177,10.2,41,72,101,130,,,,,,,,,,,,,,,,133,0,40,7,36,24,46,1,9,2,127,29,173,76,130,128,13767,15,2080,1,12,8,3,17375,1,40,0,0,0,41,128,179,170,1,8,,,,,
174,NAVARRO,003,4868,8329,226,173,121,62,50,45,10,13513,5546,5681,1655,73,527,31,630,568,6,410,63,15.4%,304,40,3,347,84.6%,410,363,35,12,651,545,479,80,571,13,13513,95,7.0,410,63,15.4%,,,45,135,5,3.7%,89,16,13513,71,5.3,15,18,44,48,,,,,,,,,,,,,,,,51,0,15,1,10,20,12,0,1,0,92,22,62,43,48,47,10283,15,1375,3,36,6,6,13513,2,41,1,0,1,45,199,63,63,0,0,,,,,
175,NEWTON,005,1461,2739,115,74,48,22,0,0,0,3080,149,2153,643,14,99,22,141,122,0,78,16,20.5%,51,9,2,62,79.5%,78,67,7,4,124,99,80,17,107,11,3080,23,7.5,78,16,20.5%,,,8,17,0,0.0%,13,6,3080,24,7.8,12,14,11,14,,,,,,,,,,,,,,,,17,0,13,1,0,0,5,0,0,0,17,4,25,4,14,14,2325,4,222,0,0,0,0,3080,0,0,0,0,0,0,0,1,1,0,0,,,,,
176,NOLAN,002,1398,2892,150,109,75,32,3,3,0,3880,1804,1768,205,11,86,6,341,267,3,194,41,21.1%,138,13,2,153,78.9%,194,159,26,9,358,258,231,85,273,11,3880,86,22.2,194,41,21.1%,,,63,157,6,3.8%,80,34,3880,42,10.8,15,14,28,27,,,,,,,,,,,,,,,,28,0,20,3,0,3,9,0,1,0,147,30,42,16,27,27,3055,8,588,1,12,2,2,3880,0,3,0,0,0,3,6,58,58,0,0,,,,,
177,NUECES,011,28629,48790,2452,1608,804,269,721,641,39,88747,64475,18400,2793,1328,1542,209,5348,4648,44,3505,828,23.6%,2240,334,103,2677,76.4%,3505,2711,670,124,5750,4273,3539,1438,4312,225,88747,1316,14.8,3505,828,23.6%,,,925,2534,141,5.6%,1480,206,88747,682,7.7,325,279,385,499,,,,,,,,,,,,,,,,590,0,335,45,65,27,223,0,11,4,2693,622,664,264,499,484,68163,150,13233,32,380,55,46,88747,11,132,3,0,0,146,771,1905,676,1131,98,,,,,
178,OCHILTREE,001,468,1215,25,18,14,7,1,0,0,3582,2434,1095,8,5,24,16,91,79,0,59,19,32.2%,35,4,1,40,67.8%,59,45,9,5,105,70,62,23,82,6,3582,29,8.1,59,19,32.2%,,,11,26,0,0.0%,16,0,3582,12,3.4,6,2,11,11,,,,,,,,,,,,,,,,10,0,6,3,1,0,1,0,4,0,28,7,13,4,11,11,2819,4,306,0,0,4,1,3582,0,5,0,0,0,5,13,15,11,0,4,,,,,
179,OLDHAM,001,155,353,5,3,2,0,0,0,0,507,68,411,22,0,2,4,14,10,0,7,1,14.3%,4,1,1,6,85.7%,7,6,1,0,12,10,5,2,10,0,507,2,3.9,7,1,14.3%,,,1,2,0,0.0%,0,0,507,1,2.0,0,0,1,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,353,1,51,0,0,0,1,507,0,0,1,0,0,1,437,2,2,0,0,,,,,
180,ORANGE,005,8266,13235,525,333,171,65,12,16,6,20815,2189,15701,1982,268,587,88,1282,1049,10,875,178,20.3%,616,68,13,697,79.7%,875,770,47,58,1329,1016,889,198,1131,95,20815,280,13.5,875,178,20.3%,,,66,173,13,7.5%,176,43,20815,286,13.7,109,120,160,208,,,,,,,,,,,,,,,,241,0,111,18,20,28,85,1,14,0,248,85,280,106,208,204,15912,22,2608,3,36,17,11,20815,0,34,0,0,0,34,134,55,55,0,0,,,,,
181,PALO PINTO,003,2483,5700,215,158,87,58,3,1,0,7188,2232,4585,180,22,142,27,462,433,3,367,141,38.4%,187,33,6,226,61.6%,367,256,80,31,623,345,283,220,403,61,7188,239,33.2,367,141,38.4%,,,118,288,17,5.9%,170,34,7188,241,33.5,75,112,124,171,,,,,,,,,,,,,,,,180,0,75,9,27,36,45,0,0,0,344,96,236,96,171,171,5428,6,619,1,12,7,7,7188,0,10,0,0,0,10,33,43,43,0,0,,,,,
182,PANOLA,004,2198,4301,132,97,56,27,0,0,0,5953,998,3814,951,23,146,21,248,217,2,176,66,37.5%,84,24,2,110,62.5%,176,148,16,12,292,169,120,55,237,20,5953,100,16.8,176,66,37.5%,,,36,97,3,3.1%,25,2,5953,52,8.7,26,30,15,23,,,,,,,,,,,,,,,,47,0,26,2,3,2,19,0,0,1,117,39,45,4,23,23,4532,5,514,1,12,2,0,5953,0,2,0,0,0,2,4,10,10,0,0,,,,,
183,PARKER,003,9067,19700,444,302,199,104,4,5,0,32833,6238,25028,397,180,781,209,1305,1168,11,927,268,28.9%,544,106,9,659,71.1%,927,761,128,38,1511,1005,824,333,1178,61,32833,442,13.5,927,268,28.9%,1,0,189,499,36,7.2%,166,41,32833,309,9.4,84,158,132,196,,,,,,,,,,,,,,,,238,0,92,10,48,46,73,0,2,0,597,132,290,102,196,196,23924,42,3841,3,36,18,7,32833,0,42,1,0,0,43,196,29,29,0,0,,,,,
184,PARMER,001,517,1387,14,13,9,5,0,0,0,3359,2557,765,19,6,10,2,56,46,0,36,9,25.0%,24,3,0,27,75.0%,36,28,4,4,54,36,33,16,38,9,3359,18,5.4,36,9,25.0%,,,7,18,0,0.0%,19,2,3359,12,3.6,9,8,4,3,,,,,,,,,,,,,,,,11,0,9,0,3,2,4,0,0,0,18,2,12,5,3,2,2627,1,48,0,0,4,0,3359,0,3,0,0,0,3,10,13,13,0,0,,,,,
185,PECOS,009,861,2130,66,44,34,19,1,1,0,4024,3332,616,20,17,27,12,112,82,1,75,14,18.7%,56,5,0,61,81.3%,75,67,4,4,135,112,100,17,118,4,4024,21,5.2,75,14,18.7%,,,7,20,0,0.0%,38,7,4024,20,5.0,4,11,10,14,,,,,,,,,,,,,,,,13,0,4,0,2,2,8,0,0,0,1,5,21,12,14,13,3209,4,299,2,24,2,1,4024,0,1,0,0,0,1,2,27,26,1,0,,,,,
186,POLK,005,6475,10230,414,272,149,54,4,5,1,9762,2090,6106,993,50,263,260,676,574,5,437,70,16.0%,330,32,5,367,84.0%,437,411,8,18,705,586,517,49,656,24,9762,109,11.2,437,70,16.0%,,,23,54,6,11.1%,84,18,9762,109,11.2,24,48,43,63,,,,,,,,,,,,,,,,89,0,24,3,9,14,52,0,5,1,121,45,91,28,63,62,7472,7,817,1,12,3,3,9762,0,20,0,0,0,20,89,54,47,0,7,,,,,
187,POTTER,001,8011,14710,958,703,506,243,18,15,2,35308,17764,11327,3193,1657,1233,134,2384,2019,34,1376,370,26.9%,868,103,35,1006,73.1%,1376,1144,156,76,2407,1668,1415,452,1955,125,35308,647,18.3,1376,370,26.9%,1,0,287,716,20,2.8%,651,162,35308,434,12.3,116,115,306,361,,,,,,,,,,,,,,,,335,0,164,20,90,48,84,0,6,1,488,419,421,266,361,350,28137,33,3781,0,0,27,20,35308,8,44,1,0,0,53,172,879,140,731,8,,,,,
188,PRESIDIO,010,727,1661,34,36,31,10,0,0,0,2231,1969,204,9,30,16,3,46,38,1,34,12,35.3%,21,1,0,22,64.7%,34,26,6,2,57,34,33,22,35,2,2231,18,8.1,34,12,35.3%,,,6,14,2,14.3%,12,2,2231,8,3.6,3,2,4,4,,,,,,,,,,,,,,,,8,0,3,1,1,2,3,0,0,0,18,3,6,2,4,4,1646,0,0,0,0,4,2,2231,0,0,0,0,0,0,0,43,43,0,0,,,,,
189,RAINS,004,1068,2992,64,45,29,22,1,1,0,2360,387,1846,44,13,42,28,136,109,0,87,22,25.3%,63,2,0,65,74.7%,87,83,2,2,126,89,87,8,118,5,2360,33,14.0,87,22,25.3%,,,3,7,0,0.0%,19,7,2360,20,8.5,3,8,14,15,,,,,,,,,,,,,,,,12,0,3,2,6,0,2,0,1,0,9,8,22,4,15,14,1676,4,173,0,0,1,0,2360,0,6,0,0,0,6,10,1,1,0,0,,,,,
190,RANDALL,001,6545,18202,518,358,230,84,105,99,21,32422,9048,20820,935,492,969,158,1221,964,0,661,176,26.6%,421,53,11,485,73.4%,661,573,55,33,1084,759,658,172,912,70,32422,295,9.1,661,176,26.6%,1,0,109,256,2,0.8%,291,59,32422,250,7.7,70,104,140,175,,,,,,,,,,,,,,,,193,0,90,13,27,34,50,1,28,4,202,166,244,151,175,171,24872,32,3647,3,36,61,34,32422,2,88,4,0,0,94,419,110,94,4,12,,,,,
191,REAGAN,009,214,468,6,4,3,1,0,0,0,987,764,202,9,0,12,0,25,21,0,21,3,14.3%,17,1,0,18,85.7%,21,20,0,1,35,28,24,2,33,2,987,7,7.1,21,3,14.3%,,,1,4,0,0.0%,17,1,987,2,2.0,0,2,0,2,,,,,,,,,,,,,,,,2,0,0,1,1,0,0,0,0,0,4,0,2,0,2,2,766,2,120,0,0,2,0,987,0,1,0,0,0,1,1,0,0,0,0,,,,,
192,REAL,008,149,1042,26,22,17,1,0,0,0,590,243,329,4,1,8,5,38,31,0,30,7,23.3%,23,0,0,23,76.7%,30,24,3,3,48,35,35,12,36,9,590,13,22.0,30,7,23.3%,1,0,3,9,0,0.0%,16,3,590,18,30.5,9,8,10,12,,,,,,,,,,,,,,,,17,0,9,0,5,4,1,0,0,0,11,0,18,4,12,12,460,2,77,0,0,1,0,590,0,2,0,0,0,2,2,2,2,0,0,,,,,
193,RED RIVER,004,1528,3135,75,56,27,13,1,0,0,2721,376,1728,502,4,91,20,166,129,1,88,23,26.1%,54,8,3,65,73.9%,88,74,6,8,148,104,87,26,122,13,2721,41,15.1,88,23,26.1%,,,12,35,8,22.9%,37,12,2721,38,14.0,17,19,18,21,,,,,,,,,,,,,,,,32,0,19,1,6,2,13,0,3,0,40,15,37,9,21,21,2086,2,112,1,12,5,0,2721,0,5,0,0,0,5,11,3,3,0,0,,,,,
194,REEVES,009,1257,1857,57,36,24,10,0,0,0,3126,2741,288,43,35,15,4,126,100,1,85,18,21.2%,54,13,0,67,78.8%,85,75,7,3,137,103,82,18,119,13,3126,30,9.6,85,18,21.2%,1,0,9,23,2,8.7%,45,11,3126,27,8.6,15,15,8,11,,,,,,,,,,,,,,,,26,0,15,0,4,1,7,0,0,0,11,15,23,5,11,11,2421,2,144,3,36,1,0,3126,0,0,0,0,0,0,0,20,20,0,0,,,,,
195,REFUGIO,011,701,1619,52,44,17,6,0,0,0,1713,1047,540,96,3,27,0,89,77,0,52,18,34.6%,28,6,0,34,65.4%,52,37,11,4,97,66,49,34,63,8,1713,25,14.6,52,18,34.6%,,,21,64,1,1.6%,27,6,1713,15,8.8,6,11,4,7,,,,,,,,,,,,,,,,14,0,6,1,0,2,12,0,0,2,69,2,15,5,7,7,1276,2,105,0,0,7,1,1713,0,5,0,0,0,5,12,14,14,0,0,,,,,
196,ROBERTS,001,80,197,1,0,0,0,0,0,0,249,30,218,0,0,1,0,2,2,0,2,1,50.0%,0,0,1,1,50.0%,2,1,1,0,2,1,0,1,1,0,249,1,4.0,2,1,50.0%,,,0,0,0,0.0%,2,1,249,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180,0,0,0,0,1,0,249,0,0,0,0,0,0,0,0,0,0,0,,,,,
197,ROBERTSON,007,1274,3337,73,40,29,7,0,0,0,4269,1276,1927,954,29,72,11,138,119,1,113,24,21.2%,76,12,1,89,78.8%,113,106,4,3,197,157,135,15,182,2,4269,36,8.4,113,24,21.2%,,,6,17,0,0.0%,11,1,4269,22,5.2,4,9,11,11,,,,,,,,,,,,,,,,21,0,5,0,1,6,9,0,0,0,20,2,20,3,11,11,3219,3,279,2,24,1,2,4269,0,2,0,0,0,2,5,121,121,0,0,,,,,
198,ROCKWALL,003,4103,11021,172,125,66,14,1,1,1,26263,5885,17171,1598,621,866,122,660,569,3,348,79,22.7%,232,32,5,269,77.3%,348,281,48,19,545,408,342,119,426,27,26263,129,4.9,348,79,22.7%,2,0,58,160,4,2.5%,54,5,26263,42,1.6,27,29,10,26,,,,,,,,,,,,,,,,38,0,27,0,5,2,14,0,4,1,102,34,39,39,26,25,18613,25,3713,6,72,16,4,26263,0,40,0,0,0,40,101,22,9,0,13,,,,,
199,RUNNELS,002,484,2226,89,73,43,25,0,0,0,2595,1268,1252,40,3,23,9,140,104,1,82,20,24.4%,56,6,0,62,75.6%,82,66,5,11,159,108,95,38,121,26,2595,45,17.3,82,20,24.4%,,,14,39,5,12.8%,44,14,2595,51,19.7,22,27,23,38,,,,,,,,,,,,,,,,49,0,22,7,7,4,15,0,0,1,47,5,50,8,38,38,1978,3,102,3,36,2,3,2595,0,6,0,0,0,6,12,11,11,0,0,,,,,
200,RUSK,004,4665,9038,180,160,79,27,2,2,0,13131,3340,7335,1890,55,445,66,543,480,5,405,127,31.4%,226,46,6,278,68.6%,405,338,31,36,720,469,369,154,566,95,13131,229,17.4,405,127,31.4%,,,36,90,6,6.7%,60,21,13131,188,14.3,99,132,45,95,,,,,,,,,,,,,,,,175,0,97,5,11,5,74,2,10,2,172,81,177,31,95,95,10042,10,822,5,60,5,1,13131,0,24,0,0,0,24,81,69,49,0,20,,,,,
201,SABINE,005,1022,3511,68,56,34,15,0,0,0,2003,145,1608,175,3,66,6,102,80,2,64,16,25.0%,39,8,1,48,75.0%,64,59,3,2,127,92,72,9,118,6,2003,34,17.0,64,16,25.0%,1,0,6,12,0,0.0%,12,3,2003,9,4.5,4,5,4,4,,,,,,,,,,,,,,,,9,0,4,0,3,0,3,0,1,0,17,6,9,3,4,4,1498,2,135,0,0,1,0,2003,0,2,0,0,0,2,7,3,3,0,0,,,,,
202,SAN AUGUSTINE,005,1284,2380,89,69,52,21,3,2,1,1823,240,1040,496,7,38,2,90,73,0,52,15,28.8%,30,7,0,37,71.2%,52,49,1,2,98,70,56,5,93,2,1823,20,11.0,52,15,28.8%,,,7,17,2,11.8%,9,0,1823,13,7.1,3,5,6,11,,,,,,,,,,,,,,,,10,0,3,0,1,0,6,0,1,0,31,6,11,2,11,11,1383,2,81,0,0,1,0,1823,0,5,0,0,0,5,21,46,33,0,13,,,,,
203,SAN JACINTO,005,2535,5832,244,170,111,60,0,0,0,6494,1322,4284,654,36,177,21,376,329,1,257,55,21.4%,188,13,1,202,78.6%,257,222,17,18,428,315,299,68,360,25,6494,99,15.2,257,55,21.4%,,,23,53,7,13.2%,80,19,6494,54,8.3,29,13,40,46,,,,,,,,,,,,,,,,50,0,29,0,5,5,16,0,0,0,71,14,53,18,46,46,4784,4,236,0,0,2,0,6494,0,8,0,0,0,8,13,16,16,0,0,,,,,
